"SOO JERKY LIMITED","13191","PRINCESS STREET"," ","RICHMOND","BC","V7E3S1"
"FRENCH CREEK SEAFOOD LTD.","1097","LEE ROAD"," ","PARKSVILLE","BC","V9P2E1"
"TAIWAN FOOD PRODUCTS LTD.","#10A 8145","130TH STREET"," ","SURREY","BC","V3W7X4"
"GRAND HALE MARINE PRODUCTS COMPANY LIMITED","11551","TWIGG PLACE CANADA"," ","RICHMOND","BC","V6V2Y2"
"GREAT GLACIER SALMON LTD."," ","MILE 35"," ","PRINCE RUPERT","BC","-"
"CIWA INVESTMENTS CO. LTD. DBA HING LEE SEAFOODS","12671","BATHGATE WAY","#8","RICHMOND","BC","V6V1Y5"
"DELTA PACIFIC SEAFOODS LTD.","6001","60TH AVENUE"," ","DELTA","BC","V4K4E2"
"ISLAND SCALLOPS LTD.","5552","WEST ISLAND HIGHWAY"," ","QUALICUM BEACH","BC","V9K2C8"
"KANATA HOLDINGS LTD. DBA ORCA SEAFOODS LTD.","200","11251 RIVER ROAD"," ","RICHMOND","BC","V6X1Z6"
"DIANA'S SEAFOOD","2101","LAWRENCE AVENUE EAST CANADA"," ","SCARBOROUGH","ON","M1R2Z4"
"KITASOO SEAFOODS LTD."," ","GENERAL DELIVERY"," ","KLEMTU","BC","V0T1L0"
"COAST TSIMSHIAN FISH PLANT LTD.","100","SHASHAAK STREET"," ","LAX KW'ALAAMS","BC","V0V1H0"
"LEADER COLD STORAGE LTD.","3900","VIKING WAY"," ","RICHMOND","BC","V6V1N6"
"ALL TEMP FOODS LTD","15","INDUSTRIAL ROAD"," ","LEAMINGTON","ON","N8H4W4"
"LIONS' GATE FISHERIES LTD.","4179","RIVER ROAD WEST CANADA"," ","DELTA","BC","V4K1R9"
"ALLSEAS FISHERIES CORP.","55","VANSCO ROAD"," ","TORONTO","ON","M8Z5Z8"
"LIONS' GATE FISHERIES LTD.","612","CAMPBELL STREET"," ","TOFINO","BC","V0R2Z0"
"BOS SMOKED FISH INC","1175","PATTULLO AVENUE"," ","WOODSTOCK","ON","N4S7W3"
"(A DIVISION OF COLE-MUNRO FOODS INC)","54","VANKOOGHNET ST E"," ","LITTLE CURRENT","ON","POP1K0"
"COLE-MUNRO FOODS GROUP INC.","5","BARRIE BOULEVARD CANADA"," ","ST. THOMAS","ON","N5P4B9"
"CANYON CREEK FOOD COMPANY LTD.","8704","53RD AVENUE"," ","EDMONTON","AB","T6E5G2"
"ETOBICOKE NOODLES INC.","66","NEWCASTLE STREET"," ","TORONTO","ON","M8Y1A4"
"FEATURE FOODS INTERNATIONAL INC.","30","FINLEY ROAD"," ","BRAMPTON","ON","L6T1A9"
"FERROCLAD FISHERY","24","FERROCLAD ROAD"," ","BATCHAWANA BAY","ON","P0S1A0"
"FRESHWATER FISH MARKETING CORPORATION"," "," "," ","WINNIPEG","MB","R2C3L4"
"SOFINA FOODS INC./ ALIMENTS SOFINA INC.","401","CANARCTIC DRIVE"," ","TORONTO","ON","M3J2P9"
"LA NASSA SEAFOOD","215","INDUSTRY ROAD"," ","KINGSVILLE","ON","N9Y1K9"
"INDEPENDENT FISH CO LTD","941","SHERBROOK STREET"," ","WINNIPEG","MB","R3A1N3"
"MARINER NEPTUNE FISH & SEAFOOD CO LTD","472","DUFFERIN AVE CANADA"," ","WINNIPEG","MB","R2W2Y6"
"MINOR FISHERIES LTD.","1070","ELM STREET"," ","PORT COLBORNE","ON","L3K5V5"
"WILD WEST STEELHEAD"," ","NE Q 21-23-07 W3"," ","LUCKY LAKE","SK","S0L1Z0"
"OCEAN FOOD COMPANY LIMITED","3","TURBINA AVENUE"," ","SCARBOROUGH","ON","M1V5G3"
"PACIFIC FRESH FISH LTD.","679","HENDERSON DRIVE"," ","REGINA","SK","S4N6A8"
"PRESTEVE FOODS LIMITED","20954","ERIE STREET SOUTH"," ","WHEATLEY","ON","N0P2P0"
"PURDY FISHERIES LTD."," "," "," ","POINT EDWARD","ON","-"
"POS BIO-SCIENCES","118","VETERINARY ROAD"," ","SASKATOON","SK","S7N2R4"
"SEACORE SEAFOOD INC.","81","AVIVA PARK DRIVE"," ","WOODBRIDGE","ON","L4L9C1"
"THE PURVIS BROS. LIMITED","1981","BURNT ISLAND ROAD"," ","BURNT ISLAND","ON","P0P1Y0"
"LES PLATS DU CHEF ULC","610","OSTER LANE"," ","VAUGHAN","ON","L4K2C1"
"TRUE NORTH SALMON LIMITED PARTNERSHIP","17","WALKER DRIVE"," ","CHARLOTTETOWN","PE","C1A8S5"
"BELLE RIVER ENTERPRISES LIMITED","12","WATERVIEW LANE"," ","BELLE RIVER","PE","C0A1B0"
"BURLEIGH BROS. SEAFOODS LTD","224","BURLEIGH ROAD"," ","ELLERSLIE","PE","C0B1J0"
"COUNTRY QUEEN FOODS INC.","205","WILKINSON ROAD"," ","BRAMPTON","ON","L6T4M2"
"F T C ENTERPRISES LIMITED","101","BELVEDERE AVENUE"," ","CHARLOTTETOWN","PE","C1A6B3"
"MACKINNON'S LOBSTER POUND LTD.","2","PRINCE ST."," ","CHARLOTTETOWN","PE","C1A4P5"
